abi	library	tier	cluster	size_bytes	sha256	needed_count	needed	export_count	jni_export_count	key_exports	string_markers
arm64-v8a	libGamesir.so	tier2	input_peripheral	27232	15a7295bf9693ebe43e67e7732dd32a7260615d11eee3cb40234487b0af1d0fb	4	liblog.so|libm.so|libdl.so|libc.so	77	23	Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decodeZhiWanConfig|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoyData|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoyDataYuneec|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoytouchData|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryJoytouchDataG5|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_decryX2|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_isMoveOutIgnoredArea|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_resetIgnoredStatus|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_resetNowPressedStatus|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setABXYDetectArea|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setBTMac|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setFirstPoint|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setIgnoreDistance|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setIsRelativeCenter|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setNailModeStatus|Java_com_xiaoji_sdk_bluetooth_le_Gamesir_setNowPressedButtonIndex	
arm64-v8a	libJieLiUsbOta.so	tier2	input_peripheral	902560	daf4fb614e37c4133b80730cb1ca1624906727c76a7ee548d3773617744b5909	4	liblog.so|libm.so|libdl.so|libc.so	1936	3	Java_com_jieli_bootloader_hid_HidClient_nativeDestroy|Java_com_jieli_bootloader_hid_HidClient_nativeInit|Java_com_jieli_bootloader_hid_HidClient_nativeStartUpgrade|_ZNSt6__ndk113basic_filebufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE10pubseekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_streambufIwNS_11char_traitsIwEEE7seekoffExNS_8ios_base7seekdirEj|_ZNSt6__ndk115basic_stringbufIcNS_11char_traitsIcEENS_9allocatorIcEEE7seekoffExNS_8ios_base7seekdirEj	fex
arm64-v8a	libadb.so	tier2	misc	90392	872485121f43f71374ad62447312d034f98ad4c2d4be691ecbefaa6af45a14b8	4	liblog.so|libm.so|libdl.so|libc.so	1	1	JNI_OnLoad	
arm64-v8a	libalicomphonenumberauthsdk_core.so	tier2	misc	5544	e6fc6cb56da624026d67037b3df4a6083781a064b98b37e73aa8877b644fb2bf	4	liblog.so|libm.so|libdl.so|libc.so	1	1	Java_com_mobile_auth_gatewayauth_utils_Checker_c	
arm64-v8a	libandroidx.graphics.path.so	tier2	misc	10096	41e9a793c43a0f4fddb19e33f346bace464f30f888ba7b9eaf96294ea115bfb6	3	libm.so|libdl.so|libc.so	1	0		
arm64-v8a	libavutil-55.so	tier2	compression_media	366152	3ae207f0ae9b3d9cc0c9f87cfe1377424c6c1e86e63bbf4d9d900f487f13e777	2	libm.so|libc.so	489	0		fex
arm64-v8a	libblur-lib.so	tier2	misc	9944	3b2c046810ba93ec5cb100c5ad3dd0f35251dee42f80aaf561480b402f60fdca	6	liblog.so|libjnigraphics.so|libm.so|libstdc++.so|libdl.so|libc.so	12	1	JNI_OnLoad	
arm64-v8a	libcrashsdk.so	tier2	misc	647928	a8a0f925488f09d2321942f05ba8928784b4119d3da1ff55451f96c1ccd54f9c	4	liblog.so|libz.so|libc.so|libdl.so	18	0		
arm64-v8a	libdatastore_shared_counter.so	tier2	misc	7112	d3e48717c9aa147e0ab21063ba0e8e0211cabf8bf40b222640829519edbf58e1	3	libm.so|libdl.so|libc.so	9	4	Java_androidx_datastore_core_NativeSharedCounter_nativeCreateSharedCounter|Java_androidx_datastore_core_NativeSharedCounter_nativeGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeIncrementAndGetCounterValue|Java_androidx_datastore_core_NativeSharedCounter_nativeTruncateFile	
arm64-v8a	libffmpeg-command.so	tier2	compression_media	493744	cb48a4c08d877d3e5d0b1bdae0333eff5f87ba9a654606849a141b12ce3135ce	5	libffmpeg-org.so|liblog.so|libm.so|libdl.so|libc.so	585	15	JNI_OnLoad|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancel|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancelAllTasks|Java_com_coder_ffmpeg_jni_FFmpegCmd_cancelTask|Java_com_coder_ffmpeg_jni_FFmpegCmd_codec|Java_com_coder_ffmpeg_jni_FFmpegCmd_codecInfo|Java_com_coder_ffmpeg_jni_FFmpegCmd_executeConcurrent|Java_com_coder_ffmpeg_jni_FFmpegCmd_exit|Java_com_coder_ffmpeg_jni_FFmpegCmd_formatInfo|Java_com_coder_ffmpeg_jni_FFmpegCmd_getActiveTaskCount|Java_com_coder_ffmpeg_jni_FFmpegCmd_info|Java_com_coder_ffmpeg_jni_FFmpegCmd_setDebug|Java_com_coder_ffmpeg_jni_FFmpegConfig_00024Companion_nativeInit|Java_com_coder_ffmpeg_jni_FFmpegConfig_00024Companion_nativeSetDebug|Java_com_coder_ffmpeg_jni_FFmpegConfig_00024Companion_nativeSetNativeEnv	fex
arm64-v8a	libffmpeg-org.so	tier2	compression_media	18406632	ed3512e282f08c1346027014ea5e2cd76b58c8fe29d8e095274630d74175f74f	6	libc.so|libm.so|libz.so|libdl.so|liblog.so|libandroid.so	10113	0	FT_Get_X11_Font_Format	fex|X11
arm64-v8a	libgpuinfo.so	tier1	gpu_probe	341944	57aeb86443860acff2b47a1f3e78eae745a046afb921061dae8f0f3707340579	4	libvulkan.so|libm.so|libdl.so|libc.so	524	4	Java_com_winemu_core_GPUInfoQuery_getGPUDeviceName|Java_com_winemu_core_GPUInfoQuery_getGPUDriverVersion|Java_com_winemu_core_GPUInfoQuery_getGPUId|Java_com_winemu_core_GPUInfoQuery_getGPUVendor	WINEMU_|wine
arm64-v8a	libijkffmpeg.so	tier2	streaming_media	6216312	526b247dd1857c4df5c2b236e2c3ab6f9d64a9498b46b582d0fad5de32c42514	4	libm.so|libz.so|libdl.so|libc.so	8587	0		fex
arm64-v8a	libijkplayer.so	tier2	streaming_media	545704	16a2954c81affb9b058dec54466dd4d17e1b08adf92d817feb1138403d9f51dd	7	libijkffmpeg.so|libijksdl.so|liblog.so|libandroid.so|libdl.so|libc.so|libm.so	826	1	JNI_OnLoad	fex
arm64-v8a	libijksdl.so	tier2	streaming_media	362832	7b0818ce97da420c387780dfc2fcb7c91983efd97ec9eba0c0c838d41b041075	9	libijkffmpeg.so|liblog.so|libandroid.so|libOpenSLES.so|libEGL.so|libGLESv2.so|libdl.so|libc.so|libm.so	886	1	JNI_OnLoad	
arm64-v8a	libimage_processing_util_jni.so	tier2	misc	29008	3e0071afcdc7e321f839e196d266014182f18d0988e4455acc9857a085b2184e	6	liblog.so|libandroid.so|libjnigraphics.so|libm.so|libdl.so|libc.so	6	6	Java_androidx_camera_core_ImageProcessingUtil_nativeConvertAndroid420ToABGR@@VERS_1.0|Java_androidx_camera_core_ImageProcessingUtil_nativeConvertAndroid420ToBitmap@@VERS_1.0|Java_androidx_camera_core_ImageProcessingUtil_nativeCopyBetweenByteBufferAndBitmap@@VERS_1.0|Java_androidx_camera_core_ImageProcessingUtil_nativeRotateYUV@@VERS_1.0|Java_androidx_camera_core_ImageProcessingUtil_nativeShiftPixel@@VERS_1.0|Java_androidx_camera_core_ImageProcessingUtil_nativeWriteJpegToSurface@@VERS_1.0	
arm64-v8a	libimagescale.so	tier2	misc	55280	5b91aef19436f6d9205a74b18ff18399ee3659f42403b0b47ba40a11bfa2bfdc	10	libavutil-55.so|libswscale-4.so|liblog.so|libz.so|libandroid.so|libjnigraphics.so|libstdc++.so|libm.so|libc.so|libdl.so	8	1	Java_com_xiaoji_sdk_FFMPEG_1Utils_getScaleBitmap	
arm64-v8a	libjingle_peerconnection_so.so	tier2	streaming_media	9245984	3e5490c126a8445754f5b30a45806427ccf5fc0c0c4adc3c119b44b87c63bc7f	6	libEGL.so|libdl.so|libm.so|liblog.so|libOpenSLES.so|libc.so	179	179	JNI_OnLoad|Java_org_webrtc_AudioTrack_nativeSetVolume|Java_org_webrtc_BuiltinAudioDecoderFactoryFactory_nativeCreateBuiltinAudioDecoderFactory|Java_org_webrtc_BuiltinAudioEncoderFactoryFactory_nativeCreateBuiltinAudioEncoderFactory|Java_org_webrtc_CallSessionFileRotatingLogSink_nativeAddSink|Java_org_webrtc_CallSessionFileRotatingLogSink_nativeDeleteSink|Java_org_webrtc_CallSessionFileRotatingLogSink_nativeGetLogData|Java_org_webrtc_DataChannel_nativeBufferedAmount|Java_org_webrtc_DataChannel_nativeClose|Java_org_webrtc_DataChannel_nativeId|Java_org_webrtc_DataChannel_nativeLabel|Java_org_webrtc_DataChannel_nativeRegisterObserver|Java_org_webrtc_DataChannel_nativeSend|Java_org_webrtc_DataChannel_nativeState|Java_org_webrtc_DataChannel_nativeUnregisterObserver|Java_org_webrtc_DtmfSender_nativeCanInsertDtmf	fex|epoll
arm64-v8a	libjl_ota_auth.so	tier2	input_peripheral	14968	d0bb1795ae28d873647475fdafe02c82618ab93520479e2325761d0ddbec6a2c	5	liblog.so|libandroid.so|libm.so|libdl.so|libc.so	12	2	JNI_OnLoad|Java_com_jieli_jl_1bt_1ota_util_ParseDataUtil_nativeFilterFile	
arm64-v8a	libjutils.so	tier2	misc	1691976	b7c792ee556c311fc55f285d7ead1b9f6fd7aa7cd4b00a96968ab738c9dc351a	3	libdl.so|libm.so|libc.so	1	1	JNI_OnLoad	epoll
arm64-v8a	liblog.so	tier2	misc	66376	8f390b591bd90f16a549fd04218e3c47d68990cdbf053105dffe4056cb1fb33f	0		9	0		
arm64-v8a	libmitm.so	tier2	misc	5722856	bea75c492af8485fdba0e50d4538ff1b8675ee1316607da29c5d186bcd109075	4	liblog.so|libdl.so|libm.so|libc.so	6	6	Java_com_winemu_core_mitm_MitmProxy_getDnsPort|Java_com_winemu_core_mitm_MitmProxy_getPort|Java_com_winemu_core_mitm_MitmProxy_setCertificate|Java_com_winemu_core_mitm_MitmProxy_setConfig|Java_com_winemu_core_mitm_MitmProxy_start|Java_com_winemu_core_mitm_MitmProxy_stop	WINEMU_|wine|epoll|Steam
arm64-v8a	libmmkv.so	tier2	misc	717336	2813bfe0fc5c59aed78bf7a3cd6d50f149c28d5e3369d22c8575b8d7cf303578	5	liblog.so|libz.so|libm.so|libdl.so|libc.so	910	1	JNI_OnLoad|_ZN4MMKV16mmkvWithAshmemFDERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEiiPS7_|_ZN4MMKV8ashmemFDEv	memfd
arm64-v8a	libstreaming-core.so	tier1	streaming_media	3968752	0842e31f1e9e1f8f8c351fb3ad4e883b6faa56e7d49b4c1fcda22e50e2b8e783	4	liblog.so|libdl.so|libc.so|libm.so	351	32	Java_com_streaming_nvstream_jni_StreamingBridge_findExternalAddressIP4|Java_com_streaming_nvstream_jni_StreamingBridge_getEstimatedRttInfo|Java_com_streaming_nvstream_jni_StreamingBridge_getLaunchUrlQueryParameters|Java_com_streaming_nvstream_jni_StreamingBridge_getPendingAudioDuration|Java_com_streaming_nvstream_jni_StreamingBridge_getPendingVideoFrames|Java_com_streaming_nvstream_jni_StreamingBridge_getPortFlagsFromStage|Java_com_streaming_nvstream_jni_StreamingBridge_getPortFlagsFromTerminationErrorCode|Java_com_streaming_nvstream_jni_StreamingBridge_getStageName|Java_com_streaming_nvstream_jni_StreamingBridge_guessControllerHasPaddles|Java_com_streaming_nvstream_jni_StreamingBridge_guessControllerHasShareButton|Java_com_streaming_nvstream_jni_StreamingBridge_guessControllerType|Java_com_streaming_nvstream_jni_StreamingBridge_init|Java_com_streaming_nvstream_jni_StreamingBridge_interruptConnection|Java_com_streaming_nvstream_jni_StreamingBridge_sendControllerArrivalEvent|Java_com_streaming_nvstream_jni_StreamingBridge_sendControllerBatteryEvent|Java_com_streaming_nvstream_jni_StreamingBridge_sendControllerMotionEvent	Steam
arm64-v8a	libsurface_util_jni.so	tier2	misc	4832	ee3f0d56f81cc0a301db32dc4fd51274c3216733b4c40172768e38bc5049a265	4	libandroid.so|libm.so|libdl.so|libc.so	1	1	Java_androidx_camera_core_impl_utils_SurfaceUtil_nativeGetSurfaceInfo@@VERS_1.0	
arm64-v8a	libswscale-4.so	tier2	compression_media	349736	4e5526daab8bb9b860b478432b9a4571c01d12558f2e9147d3735ef2cba5b164	3	libavutil-55.so|libm.so|libc.so	35	0		fex
arm64-v8a	libucrash-core.so	tier2	misc	97280	b9f24142b1fdad8787ef2d72b9498b49bf8b426350ad0d523c05408c09baf8ce	4	liblog.so|libdl.so|libm.so|libc.so	4	0		
arm64-v8a	libucrash.so	tier2	misc	51648	42c811782903589415dfdaa4933ef52b6d1d4031782f3553e0f63ff6e4115c69	4	liblog.so|libdl.so|libm.so|libc.so	1	1	JNI_OnLoad	
arm64-v8a	libumeng-spy.so	tier2	misc	398472	3fd428644673e23b232c6eab6043d8cef82590df965a3a495b0cffafe3e106c9	4	liblog.so|libm.so|libdl.so|libc.so	381	3	Java_com_umeng_umzid_Spy_getNativeID|Java_com_umeng_umzid_Spy_getNativeLibraryVersion|Java_com_umeng_umzid_Spy_getNativeTag	
arm64-v8a	libumonitor.so	tier2	misc	247352	7cf3fccfd88c49b0ab8d3eadc729eb57d5ad183b0cad68270a2bf078f77ecab0	4	liblog.so|libm.so|libdl.so|libc.so	1	1	JNI_OnLoad	fex
arm64-v8a	libvfs.so	tier1	virtual_fs	1055496	5d662247de053dfbaf9ced453b1aea9e4557a1ffcab67181871d1f64c2360952	4	liblog.so|libm.so|libdl.so|libc.so	5	0	winemu_mmap	WINEMU_|wine|Steam
arm64-v8a	libwinemu.so	tier1	runtime_orchestration	593072	a7acfc1462e7d13500909cb41cfa28cc0f1657448c6649e14a0313868e79b69f	6	liblog.so|libandroid.so|libvfs.so|libm.so|libdl.so|libc.so	39	35	Java_com_winemu_core_CabFile_close|Java_com_winemu_core_CabFile_extract|Java_com_winemu_core_CabFile_getFileName|Java_com_winemu_core_CabFile_listFiles|Java_com_winemu_core_CabFile_open|Java_com_winemu_core_DirectRendering_00024Companion_nativeInitialize|Java_com_winemu_core_DirectRendering_00024Companion_nativeSetSurfaceFormat|Java_com_winemu_core_DirectRendering_00024Companion_nativeStartTestClient|Java_com_winemu_core_gamepad_GamepadServerManager_nativeCreate|Java_com_winemu_core_gamepad_GamepadServerManager_nativeDestroy|Java_com_winemu_core_gamepad_GamepadServerManager_nativeGetGamepadBuffer|Java_com_winemu_core_gamepad_GamepadServerManager_nativeSetRumbleCallback|Java_com_winemu_core_gamepad_GamepadServerManager_nativeUpdateGamepadCount|Java_com_winemu_core_server_alsaserver_ALSAClient_downMix16Bit|Java_com_winemu_core_server_alsaserver_ALSAClient_downMix8Bit|Java_com_winemu_core_server_alsaserver_ALSAClient_downMixFloat	WINEMU_|wine|epoll|memfd
arm64-v8a	libxjps-jni.so	tier2	misc	3948816	38f58ab89be226c6345c72e4ec7e7182eb569e0afb680e4bdf4a2d59ae9a55e8	7	liblog.so|libmediandk.so|libandroid.so|libOpenSLES.so|libm.so|libdl.so|libc.so	7660	19	JNI_OnLoad|Java_com_xj_psplay_lib_PSPlayNative_discoveryServiceCreate|Java_com_xj_psplay_lib_PSPlayNative_discoveryServiceFree|Java_com_xj_psplay_lib_PSPlayNative_discoveryServiceWakeup|Java_com_xj_psplay_lib_PSPlayNative_errorCodeToString|Java_com_xj_psplay_lib_PSPlayNative_quitReasonIsError|Java_com_xj_psplay_lib_PSPlayNative_quitReasonToString|Java_com_xj_psplay_lib_PSPlayNative_registFree|Java_com_xj_psplay_lib_PSPlayNative_registStart|Java_com_xj_psplay_lib_PSPlayNative_registStop|Java_com_xj_psplay_lib_PSPlayNative_sessionCreate|Java_com_xj_psplay_lib_PSPlayNative_sessionFree|Java_com_xj_psplay_lib_PSPlayNative_sessionJoin|Java_com_xj_psplay_lib_PSPlayNative_sessionSetControllerState|Java_com_xj_psplay_lib_PSPlayNative_sessionSetLoginPin|Java_com_xj_psplay_lib_PSPlayNative_sessionSetSurface	fex|X11
arm64-v8a	libxserver.so	tier1	runtime_orchestration	3913824	29be185f4a8990f5be68f44cfbd657b91040f591c51376ff33840b468566b39e	7	libGLESv2.so|libandroid.so|libm.so|libz.so|libEGL.so|libdl.so|libc.so	1	1	JNI_OnLoad	WINEMU_|wine|fex|X11|epoll
arm64-v8a	libzstd-jni-1.5.7-4.so	tier2	compression_media	603960	282a3c292b8c437f58987755ebdde66fea27227be6b7146f7a57c5a9562cda01	3	libm.so|libdl.so|libc.so	728	148	Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_createDStreamNative|Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_decompressStreamNative|Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_freeDStreamNative|Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_initDStreamNative|Java_com_github_luben_zstd_ZstdBufferDecompressingStreamNoFinalizer_recommendedDOutSizeNative|Java_com_github_luben_zstd_ZstdCompressCtx_compressByteArray0|Java_com_github_luben_zstd_ZstdCompressCtx_compressDirectByteBuffer0|Java_com_github_luben_zstd_ZstdCompressCtx_compressDirectByteBufferStream0|Java_com_github_luben_zstd_ZstdCompressCtx_free|Java_com_github_luben_zstd_ZstdCompressCtx_getFrameProgression0|Java_com_github_luben_zstd_ZstdCompressCtx_init|Java_com_github_luben_zstd_ZstdCompressCtx_loadCDict0|Java_com_github_luben_zstd_ZstdCompressCtx_loadCDictFast0|Java_com_github_luben_zstd_ZstdCompressCtx_reset0|Java_com_github_luben_zstd_ZstdCompressCtx_setChecksum0|Java_com_github_luben_zstd_ZstdCompressCtx_setContentSize0	
